Company Name,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22
2302,2.96,13.67,1.53,7.36,4.91,2.62,26.32,49.36,19.01,23.4,2663.29,59.42,139.6,109.76,34.09,25.42,4.76,15.63,0.28,3.24,1.26,-2621
2303,14.94,42.02,8.01,12.46,12.69,6.07,12.86,83.98,23.67,96.21,513.44,502.36,276.37,215.49,66.69,40.01,6.66,22.55,0.47,6.18,1.24,15314898
2329,6.11,8.8,-4.53,-2.55,-2.84,-1.39,6.42,2.67,-22.44,-71.99,-139.28,-143.41,78.56,53.69,143.99,59.01,5.61,60.13,0.93,10.89,2.34,-57106
2330,26.68,67.42,21.15,41.9,43.33,24.77,10.92,95.8,29.89,54.73,64.88,62.29,175.04,153.86,47.38,32.15,8.62,15.22,0.53,6.4,0.91,-18621330
2337,12.02,24.97,12.35,14.94,15.14,8.82,19.2,36.88,16.64,42.37,89.53,84.55,181.18,97.59,80.24,44.52,6.7,55.8,0.64,2.06,1.31,1351158
2338,6.93,12.7,0.89,7.67,3.29,3.03,10.35,-4.61,37.22,14.27,82.66,-65.52,74.23,63.24,140.95,58.5,5.55,37.87,0.7,15.26,2.25,669416
2342,6.9,7.03,3.14,13.11,4.45,11.97,10.65,37.52,45.43,698.53,250.02,124.49,369.64,309.55,40.13,28.64,6.47,26.23,0.67,7.28,6.12,-71689
2344,7.24,20.95,-0.26,2.53,3.24,0.95,24.36,27.18,11.06,6.78,-26.75,-34,186.72,120.32,91.34,47.74,6.48,39.09,0.48,3.19,0.9,779363
2351,8.49,14.49,4.2,6.01,5.3,5.22,8.86,26.46,-8.46,-25.92,-39.04,-46.11,246.73,115.39,75.61,43.05,4.62,78.39,0.79,2.59,1.83,422753
2363,-1.06,-97.17,39.77,-297.15,-112.12,-22.63,328.21,-109.37,-36.36,-49.86,-30.94,-17.18,472.97,437.04,2.22,2.17,5.16,0.92,0.02,1.43,0.2,-60323
